date,day type,day,week,lunch 1,lunch 2,lunch 3,lunch 4,lunch 5,Event 1,Event 2,Event 3, Event 4,Undefined
11/1/2024,1,A,A,,,,,,,,,,
11/2/2024,0,,,,,,,,,,,,
11/3/2024,0,,,,,,,,,,,,
11/4/2024,1,B,A,,,,,,,,,,
11/5/2024,1,C,A,Pasta w/Meat Sauce,Caesar Salad,Garlic Bread,Assorted Fruit,Milk,Election Day,,,,
11/6/2024,1,D,A,Chicken Tenders w/,Dipping Sauce,Potato Wedges,Steamed Carrots,Fruit & Milk,Department Meetings,,,,
11/7/2024,1,E,A,Toasted Cheese,Sandwich,Tomato Soup/Crackers,Coleslaw,Fruit & Milk,Parent Teacher Conferences,,,,
11/8/2024,2,F,A,Spicy Chicken Patty on,"a Roll, Lettuce, Tomato",Bag of Chips,Pickle Slices,Fruit & Milk,,,,,
11/9/2024,0,,,,,,,,,,,,
11/10/2024,0,,,,,,,,,,,,
11/11/2024,0,,,,,,,,Veteran's Day,,,,
11/12/2024,1,B,B,French Toast Sticks,Sausage Links,Hash Brown Patty,Fruit Choice,Milk,,,,,
11/13/2024,1,C,B,"Nachos w/Beef,Cheese",Salsa & Sour Cream,Fiesta Bean Salad,Fresh or Canned Fruit,Milk,,,,,
11/14/2024,1,D,B,Chicken Parmesan,Pasta w/Sauce,Vegetable Medley,Chilled Fruit,Milk,,,,,
11/15/2024,1,E,B,Italian Sandwich,Bag of Chips,Banana Peppers,Sliced Beets,Fruit & Milk,,,,,
11/16/2024,0,,,,,,,,,,,,
11/17/2024,0,,,,,,,,,,,,
11/18/2024,1,F,B,Hot Dog on a Roll,French Fries,Baked Beans,Fruit Choice,Milk,,,,,
11/19/2024,1,A,B,Buffalo Chicken Dip,Celery & Carrot Sticks,Tortilla Chips,Fresh or Canned Fruit,Milk,Faculty Meeting,,,,
11/20/2024,1,B,B,Chicken Nuggets w/,Dipping Sauce,Rice Pilaf,Mixed Vegetable,Fruit & Milk,,,,,
11/21/2024,1,C,B,Roasted Turkey/Gravy,Mashed Potatoes & Corn,Cranberry Sauce,Dessert,Fruit & Milk,,,,,
11/22/2024,1,D,B,Popcorn Chicken w/,Assorted Sauces,Onion Rings,Steamed Broccoli,Fruit & Milk,,,,,
11/23/2024,0,,,,,,,,,,,,
11/24/2024,0,,,,,,,,,,,,
11/25/2024,1,A,A,French Toast Sticks,Hash Brown Patty,Sausage Links,Fruit Choice,Milk,,,,,
11/26/2024,1,A,B,Chicken & Broccoli,Alfredo,Garlic Bread Stick,Chilled Fruit,Milk,,,,,
11/27/2024,4,A,C,No ,Lunch,Served,,,Period 1: 7:45 - 8:57,Period 2: 9:00 - 9:57,Period 3: 10:00 - 10:57,,
11/28/2024,0,,,,,,,,Thanksgiving Day,,,,
11/29/2024,0,,,,,,,,Thanksgiving Recess,,,,
11/30/2024,0,,,,,,,,,,,,
12/1/2024,0,,,,,,,,,,,,
12/2/2024,,,,,,,,,,,,,
12/3/2024,,,,,,,,,,,,,
12/4/2024,,,,,,,,,,,,,
12/5/2024,,,,,,,,,,,,,
12/6/2024,,,,,,,,,,,,,
12/7/2024,,,,,,,,,,,,,
12/8/2024,,,,,,,,,,,,,
12/9/2024,,,,,,,,,,,,,
12/10/2024,,,,,,,,,,,,,
12/11/2024,,,,,,,,,,,,,
12/12/2024,,,,,,,,,,,,,
12/13/2024,,,,,,,,,,,,,
12/14/2024,,,,,,,,,,,,,
12/15/2024,,,,,,,,,,,,,
12/16/2024,,,,,,,,,,,,,
12/17/2024,,,,,,,,,,,,,
12/18/2024,,,,,,,,,,,,,
12/19/2024,,,,,,,,,,,,,
12/20/2024,,,,,,,,,,,,,
12/21/2024,,,,,,,,,,,,,
12/22/2024,,,,,,,,,,,,,
12/23/2024,,,,,,,,,,,,,
12/24/2024,,,,,,,,,,,,,
12/25/2024,,,,,,,,,,,,,
12/26/2024,,,,,,,,,,,,,
12/27/2024,,,,,,,,,,,,,
12/28/2024,,,,,,,,,,,,,
12/29/2024,,,,,,,,,,,,,
12/30/2024,,,,,,,,,,,,,
12/31/2024,,,,,,,,,,,,,
1/1/2025,,,,,,,,,,,,,
1/2/2025,,,,,,,,,,,,,
1/3/2025,,,,,,,,,,,,,
1/4/2025,,,,,,,,,,,,,
1/5/2025,,,,,,,,,,,,,
1/6/2025,,,,,,,,,,,,,
1/7/2025,,,,,,,,,,,,,
1/8/2025,,,,,,,,,,,,,
1/9/2025,,,,,,,,,,,,,
1/10/2025,,,,,,,,,,,,,
1/11/2025,,,,,,,,,,,,,
1/12/2025,,,,,,,,,,,,,
1/13/2025,,,,,,,,,,,,,
1/14/2025,,,,,,,,,,,,,
1/15/2025,,,,,,,,,,,,,
1/16/2025,,,,,,,,,,,,,
1/17/2025,,,,,,,,,,,,,
1/18/2025,,,,,,,,,,,,,
1/19/2025,,,,,,,,,,,,,
1/20/2025,,,,,,,,,,,,,
1/21/2025,,,,,,,,,,,,,
1/22/2025,,,,,,,,,,,,,
1/23/2025,,,,,,,,,,,,,
1/24/2025,,,,,,,,,,,,,
1/25/2025,,,,,,,,,,,,,
1/26/2025,,,,,,,,,,,,,
1/27/2025,,,,,,,,,,,,,
1/28/2025,,,,,,,,,,,,,
1/29/2025,,,,,,,,,,,,,
1/30/2025,,,,,,,,,,,,,
1/31/2025,,,,,,,,,,,,,
2/1/2025,,,,,,,,,,,,,
2/2/2025,,,,,,,,,,,,,
2/3/2025,,,,,,,,,,,,,
2/4/2025,,,,,,,,,,,,,
2/5/2025,,,,,,,,,,,,,
2/6/2025,,,,,,,,,,,,,
2/7/2025,,,,,,,,,,,,,
2/8/2025,,,,,,,,,,,,,
2/9/2025,,,,,,,,,,,,,
2/10/2025,,,,,,,,,,,,,
2/11/2025,,,,,,,,,,,,,
2/12/2025,,,,,,,,,,,,,
2/13/2025,,,,,,,,,,,,,
2/14/2025,,,,,,,,,,,,,
2/15/2025,,,,,,,,,,,,,
2/16/2025,,,,,,,,,,,,,
2/17/2025,,,,,,,,,,,,,
2/18/2025,,,,,,,,,,,,,
2/19/2025,,,,,,,,,,,,,
2/20/2025,,,,,,,,,,,,,
2/21/2025,,,,,,,,,,,,,
2/22/2025,,,,,,,,,,,,,
2/23/2025,,,,,,,,,,,,,
2/24/2025,,,,,,,,,,,,,
2/25/2025,,,,,,,,,,,,,
2/26/2025,,,,,,,,,,,,,
2/27/2025,,,,,,,,,,,,,
2/28/2025,,,,,,,,,,,,,
3/1/2025,,,,,,,,,,,,,
3/2/2025,,,,,,,,,,,,,
3/3/2025,,,,,,,,,,,,,
3/4/2025,,,,,,,,,,,,,
3/5/2025,,,,,,,,,,,,,
3/6/2025,,,,,,,,,,,,,
3/7/2025,,,,,,,,,,,,,
3/8/2025,,,,,,,,,,,,,
3/9/2025,,,,,,,,,,,,,
3/10/2025,,,,,,,,,,,,,
3/11/2025,,,,,,,,,,,,,
3/12/2025,,,,,,,,,,,,,
3/13/2025,,,,,,,,,,,,,
3/14/2025,,,,,,,,,,,,,
3/15/2025,,,,,,,,,,,,,
3/16/2025,,,,,,,,,,,,,
3/17/2025,,,,,,,,,,,,,
3/18/2025,,,,,,,,,,,,,
3/19/2025,,,,,,,,,,,,,
3/20/2025,,,,,,,,,,,,,
3/21/2025,,,,,,,,,,,,,
3/22/2025,,,,,,,,,,,,,
3/23/2025,,,,,,,,,,,,,
3/24/2025,,,,,,,,,,,,,
3/25/2025,,,,,,,,,,,,,
3/26/2025,,,,,,,,,,,,,
3/27/2025,,,,,,,,,,,,,
3/28/2025,,,,,,,,,,,,,
3/29/2025,,,,,,,,,,,,,
3/30/2025,,,,,,,,,,,,,
3/31/2025,,,,,,,,,,,,,
4/1/2025,,,,,,,,,,,,,
4/2/2025,,,,,,,,,,,,,
4/3/2025,,,,,,,,,,,,,
4/4/2025,,,,,,,,,,,,,
4/5/2025,,,,,,,,,,,,,
4/6/2025,,,,,,,,,,,,,
4/7/2025,,,,,,,,,,,,,
4/8/2025,,,,,,,,,,,,,
4/9/2025,,,,,,,,,,,,,
4/10/2025,,,,,,,,,,,,,
4/11/2025,,,,,,,,,,,,,
4/12/2025,,,,,,,,,,,,,
4/13/2025,,,,,,,,,,,,,
4/14/2025,,,,,,,,,,,,,
4/15/2025,,,,,,,,,,,,,
4/16/2025,,,,,,,,,,,,,
4/17/2025,,,,,,,,,,,,,
4/18/2025,,,,,,,,,,,,,
4/19/2025,,,,,,,,,,,,,
4/20/2025,,,,,,,,,,,,,
4/21/2025,,,,,,,,,,,,,
4/22/2025,,,,,,,,,,,,,
4/23/2025,,,,,,,,,,,,,
4/24/2025,,,,,,,,,,,,,
4/25/2025,,,,,,,,,,,,,
4/26/2025,,,,,,,,,,,,,
4/27/2025,,,,,,,,,,,,,
4/28/2025,,,,,,,,,,,,,
4/29/2025,,,,,,,,,,,,,
4/30/2025,,,,,,,,,,,,,
5/1/2025,,,,,,,,,,,,,
5/2/2025,,,,,,,,,,,,,
5/3/2025,,,,,,,,,,,,,
5/4/2025,,,,,,,,,,,,,
5/5/2025,,,,,,,,,,,,,
5/6/2025,,,,,,,,,,,,,
5/7/2025,,,,,,,,,,,,,
5/8/2025,,,,,,,,,,,,,
5/9/2025,,,,,,,,,,,,,
5/10/2025,,,,,,,,,,,,,
5/11/2025,,,,,,,,,,,,,
5/12/2025,,,,,,,,,,,,,
5/13/2025,,,,,,,,,,,,,
5/14/2025,,,,,,,,,,,,,
5/15/2025,,,,,,,,,,,,,
5/16/2025,,,,,,,,,,,,,
5/17/2025,,,,,,,,,,,,,
5/18/2025,,,,,,,,,,,,,
5/19/2025,,,,,,,,,,,,,
5/20/2025,,,,,,,,,,,,,
5/21/2025,,,,,,,,,,,,,
5/22/2025,,,,,,,,,,,,,
5/23/2025,,,,,,,,,,,,,
5/24/2025,,,,,,,,,,,,,
5/25/2025,,,,,,,,,,,,,
5/26/2025,,,,,,,,,,,,,
5/27/2025,,,,,,,,,,,,,
5/28/2025,,,,,,,,,,,,,
5/29/2025,,,,,,,,,,,,,
5/30/2025,,,,,,,,,,,,,
5/31/2025,,,,,,,,,,,,,
6/1/2025,,,,,,,,,,,,,
6/2/2025,,,,,,,,,,,,,
6/3/2025,,,,,,,,,,,,,
6/4/2025,,,,,,,,,,,,,
6/5/2025,,,,,,,,,,,,,
6/6/2025,,,,,,,,,,,,,
6/7/2025,,,,,,,,,,,,,
6/8/2025,,,,,,,,,,,,,
6/9/2025,,,,,,,,,,,,,
6/10/2025,,,,,,,,,,,,,
6/11/2025,,,,,,,,,,,,,
6/12/2025,,,,,,,,,,,,,
6/13/2025,,,,,,,,,,,,,
6/14/2025,,,,,,,,,,,,,
6/15/2025,,,,,,,,,,,,,
6/16/2025,,,,,,,,,,,,,
6/17/2025,,,,,,,,,,,,,
6/18/2025,,,,,,,,,,,,,
